Cluster,CustomerCount,ExampleCustomers
0,6,"['Farmlands - Alexandra', 'Farmlands - Cromwell', 'Horticentre / TasmanCrop - Cromwell', 'PGG Wrightson Ltd - Alexandra', 'PGG Wrightson Ltd - Cromwell']"
1,11,"['Farmlands - Amberley', 'Farmlands - Ashburton', 'Farmlands - Culverden', 'Farmlands - Rangiora', 'Horticentre / TasmanCrop - Richmond']"
2,3,"['Farmlands - Blenheim', 'Horticentre / TasmanCrop - Renwick', 'PGG Wrightson Ltd - Blenheim']"
3,2,"['Farmlands - Christchurch', 'PGG Wrightson Ltd - Christchurch']"
4,3,"['Farmlands - Gisborne', 'Horticentre / TasmanCrop - Gisborne', 'PGG Wrightson Ltd - Gisborne']"
5,1,['Farmlands - Greymouth']
6,11,"['Farmlands - Greytown', 'Farmlands - Levin', 'Farmlands - Marton', 'Farmlands - Otaki', 'Farmlands - Palmerston North']"
7,6,"['Farmlands - Hastings', ""Farmlands - Hawke's Bay Hub"", 'Farmlands - Napier', 'Farmlands - Whakatu', 'Horticentre / TasmanCrop - Whakatu']"
8,12,"['Farmlands - Hautapu', 'Farmlands - Morrinsville', 'Farmlands - Rotorua', 'Farmlands - Tauranga', 'Farmlands - Te Awamutu']"
9,3,"['Farmlands - Helensville', 'Farmlands - Kaitaia', 'Farmlands - Wellsford']"
10,2,"['Farmlands - Inglewood', 'Farmlands - New Plymouth Bell Block']"
11,1,['Farmlands - Kaikoura']
12,5,"['Farmlands - Kamo', 'Farmlands - Whangarei', 'Horticentre / TasmanCrop - Whangarei', 'PGG Wrightson Ltd - Dargaville', 'PGG Wrightson Ltd - Whangarei']"
13,1,['Farmlands - Kurow']
14,5,"['Farmlands - Motueka', 'Farmlands - Richmond', 'Horticentre / TasmanCrop - Motueka', 'PGG Wrightson Ltd - Motueka', 'PGG Wrightson Ltd - Richmond']"
15,3,"['Farmlands - Opotiki', 'Farmlands - Whakatane', 'PGG Wrightson Ltd - Whakatane']"
16,7,"['Farmlands - Pukekohe', 'Horticentre / TasmanCrop - Drury', 'Horticentre / TasmanCrop - Massey', 'Horticentre / TasmanCrop - Pukekohe', 'PGG Wrightson Ltd - Helensville']"
17,2,"['Farmlands - Waipapa', 'PGG Wrightson Ltd - Waipapa']"
18,1,['Farmlands - Wairoa']
19,2,"['PGG Wrightson Ltd - Invercargill', 'PGG Wrightson Ltd - Wyndham']"
20,1,['PGG Wrightson Ltd - Porirua']
