customer_id,customer_name,contact_name,phone,fax,bill_to,balance_total,market,merchant_group,xero_account_number
1,Hetherington,,,,,0,Local,,
2,New Gaia Energy Co Ltd,,,,"New Gaia Energy Co., Ltd 3-9-1 Nanotsu, Chuo-ku, Fukuoka-city, Fukuoka 810-0071, JAPAN",0,Export,,
3,Clive Wilson Automotive,,,,Clive Wilson Automotive Unit 10/56 Newton Street Mt Maunganui 3116,0,Local,,
4,Export Sinorplasticos Ltda,,,,Sinorplasticos Ltda Rua do Parque No51 4500-055 Espinho PORTUGAL,0,Export,,
5,Miscellaneous,,,,,0,Local,,
6,Mitre 10 Mega,Damien,,,Mitre 10 Mega,779.14,Local,Mitre 10 Mega,
7,Mitre 10 Mega:Mitre 10 Mega Napier,Sales,06 833 8100,,Mitre 10 Mega 180 Prebensen Drive Napier 4110,389.57,Local,Mitre 10 Mega,M10_02
8,Mitre 10 Mega:Mitre 10 Mega Hastings,Sales,06 8729404,,Mitre 10 Mega 614 Karamu Road North Hastings 4122,389.57,Local,Mitre 10 Mega,M10_01
9,Export,,,,SCEA DE JAPIENDOO F47130 PORT STE MARIE FRANCE,-252050.27,Export,,
10,Export:Manjimup Kiwi Trust,Chris Taylor,,,Manjimup Kiwi Trust C/- Redland Fruit P O Box 42 Lutwyche QLD 4030 AUSTRALIA,0,Export,,
11,Export:Artech & Co Ltd - Japan,Nobu Nakazawa,+81 459842810,,"Artech & Co Ltd Shima Bldg 3F 1 - 6 Shiratoridai Aobaku, Yokohama JAPAN 227-0054",0,Export,,
12,Export:Apostolos Mingos - Greece,,,,Apostolos Mingos Vas. Sofias 5 Xanthi 67133 GREECE,0,Export,,
13,Export:Benjamin Urenda Ossa,Benjamin,56962185594,,"Benjamin Urenda Ossa Sociedad Agricola Las Loicas Limitada 8th Floor, 45 Plaza De La Justicia Valparaiso CHILE 2361822",0,Export,,
14,Export:Daesung & Farm,Christine LIM,-11136,,Daesung & Farm 662 Kyunginro Guro-gu Seoul South Korea,0,Export,,
15,Export:Francisco Cunha - Portugal,,,,Francisco Cunha Quinta Da Senhora Da Hora Unipessoal Ltd Rua Dr. Manuel Ramos 104 4415-456 Grijo PORTUGAL,0,Export,,
16,Export:Fuminori Sato,Fuminori Sato,,,Fuminori Sato 1502 Kakinosawa Shimohisakata IIda-shi Nagano 399-2604 JAPAN,0,Export,,
17,Export:Isaac Salasidis - Greece,,,,Isaac Salasidis Infrastructure Engineer Miliadou 17 - Veria GREECE 59100,0,Export,,
18,Export:Jeju Golden Kiwi Cooperative,,PH. +82 64 7879566,,"Mee Seon KIM (GC Pack Manager) 2269 Byeonji Namwon-ri Nam-eup Seogwipo-si, Jeju do SOUTH KOREA PH:82 764 7650 Mob: 82 10 9501 6918",0,Export,,
19,Export:John Calvert - Thailand,,,,"Isaan Seeds (Thailand) Ltd 55 Moo 7 Sa Yao Sri Rattana,Srisaket 33240 THAILAND",0,Export,,
20,Export:Just Trees South Africa,,,,Just Trees (Pty) Ltd P.O.Box 7270 Noorde Paarl 7623 Western Cape South Africa,0,Export,,
21,Export:Klipon NA Inc,,,,Klipon NA Inc 1313 Sandy Acres Lane Nipomo Mesa California 93444 USA,-255271.02,Export,,
22,Export:Konstantine Vekua,Konstantine Vekua,,,Nergeta Ltd 1st Gujareti Str 88A 0144 Tbilisi GEORGIA,0,Export,,
23,Export:Lu.Ma. Agricola Soc.,,,,Lu.Ma.Agricola Soc. Semplice di Luca Cappellini & Co Piazza San Nicola 7 Colonna (Roma) ITALY 00030,0,Export,,
24,Export:Mariano Saez,,,,"Mariano Saez Alvarado 1368 PB, of. 3, B7602HGB Mar del Plata Argentina +59 9 223 5215159",0,Export,,
25,Export:New Gaea Agri - Japan,Mrs Mika Matsumoto,+81 92 7181420,+81 92 7180148,"New Gaea Agri Co., Ltd The New Gaea Building 3-9-1 Nanotsu, Chuo-ku Fukuoka City, Fukuoka 810-0071 JAPAN",0,Export,,
26,Export:Ocean Trading Co. Ltd.,,,,"Ocean Trading Co. Ltd WEST18, 254 Donomae-cho Nakagyo-ku Kyoto 604-8134 JAPAN",0,Export,,
27,Export:Odawara-Kodama Trading,Kazuyuki Odawara,,,1-14-35 Higashikanagawa Kanagawa-Ku Yokohama  221-0044 JAPAN,0,Export,,
28,Export:Stefanos Kousis,,,,,0,Export,,
29,Export:Sungold Distributors,Cameron Dusting,0061 408 67 6316,0061 243 020 957,"Sungold Distributors RMB 5785, Oak Road Matcham NSW 2250 Australia",0,Export,,
30,Export:Sungold Distributors:Adelaide,,08 84471011,,"SUNGOLD DISTRIBUTORS RMB 5785 OAK ROAD,MATCHAM N.S.W 2250 AUSTRALIA",0,Export,,
31,Export:Sungold Distributors:Melbourne,,,,"Sungold Distributers RMB 5785, Oak Road Matcham NSW 2250 AUSTRALIA",0,Export,,
32,Export:Sungold Distributors:Perth,,,,Sungold Distributors 150 Oak Road Matcham NSW 2250 AUSTRALIA,0,Export,,
33,Export:Sungold Distributors:Sydney,Cameron Dusting,,,"Sungold Distributors RMB 5785,150 Oak Road Matcham NSW 2250 AUSTRALIA",0,Export,,
34,Export:Sungold Distributors:Tasmania,,,,"Sungold Distributors RMB 5785, Oak Road Matcham NSW 2250 AUSTRALIA",0,Export,,
35,Export:Cielplus Co Ltd (Wellplus) - Korea,Eunseong Lee,+82 42 825 3022,,"Cielplus Co Ltd (Wellplus) - KOREA 502 Gwanjeo Plaza 14 Gwanjeobuk-ro 13beon-gil, Seo-gu Daejeon 35363 KOREA",0,Export,,
