
invoice_number,document_type,invoice_date,lines,net_amount,customer_id,customer_name
608331,Tax Invoice,2020-01-03,2,262.5,109,Local - 1:Farmlands:Wellsford
608332,Tax Invoice,2020-01-06,2,232.34,72,Local - 1:Farmlands:Alexandra
608333,Tax Invoice,2020-01-06,3,163.8,126,Local - 1:Icon Trees
608334,Tax Invoice,2020-01-06,2,301.25,134,Local - 1:PGG Wrightson Ltd:Amberley
608336,Tax Invoice,2020-01-06,2,220.6,149,Local - 1:PGG Wrightson Ltd:Martinborough
608337,Tax Invoice,2020-01-07,2,191.4,106,Local - 1:Farmlands:Waipapa
608338,Tax Invoice,2020-01-07,2,145.8,118,Local - 1:Horticentre / TasmanCrop:Massey
608339,Tax Invoice,2020-01-07,2,220.6,79,Local - 1:Farmlands:Gisborne
608340,Tax Invoice,2020-01-08,5,2254.84,87,Local - 1:Farmlands:Kamo
608341,Tax Invoice,2020-01-08,2,2434.85,112,Local - 1:Farmlands:Whangarei
608342,Tax Invoice,2020-01-10,2,138.25,146,Local - 1:PGG Wrightson Ltd:Invercargill
608343,Tax Invoice,2020-01-13,1,58.14,33,Export:Sungold Distributors:Sydney
608344,Tax Invoice,2020-01-14,3,1890.51,143,Local - 1:PGG Wrightson Ltd:Gisborne
608345,Tax Invoice,2020-01-15,2,727.6,148,Local - 1:PGG Wrightson Ltd:Levin
608346,Tax Invoice,2020-01-16,2,1373.19,111,Local - 1:Farmlands:Whakatu
608347,Tax Invoice,2020-01-16,4,6927.53,33,Export:Sungold Distributors:Sydney
608348,Tax Invoice,2020-01-17,2,232.35,138,Local - 1:PGG Wrightson Ltd:Christchurch
608349,Tax Invoice,2020-01-17,2,64.5,110,Local - 1:Farmlands:Whakatane
608350,Tax Invoice,2020-01-17,3,1345.34,111,Local - 1:Farmlands:Whakatu
608351,Tax Invoice,2020-01-20,3,1244.0,139,Local - 1:PGG Wrightson Ltd:Cromwell
608352,Tax Invoice,2020-01-20,3,6285.38,144,Local - 1:PGG Wrightson Ltd:Hastings
608353,Tax Invoice,2020-01-23,2,435.53,102,Local - 1:Farmlands:Tauranga
608354,Tax Invoice,2020-01-23,2,3658.75,32,Export:Sungold Distributors:Perth
608355,Tax Invoice,2020-01-23,2,18284.0,21,Export:Klipon NA Inc
608356,Tax Invoice,2020-01-23,3,540.2,95,Local - 1:Farmlands:Opotiki
608357,Tax Invoice,2020-01-23,2,224.25,135,Local - 1:PGG Wrightson Ltd:Blenheim
608358,Tax Invoice,2020-01-23,2,573.75,115,Local - 1:Horticentre / TasmanCrop:Cromwell
608359,Tax Invoice,2020-01-24,2,2003.79,115,Local - 1:Horticentre / TasmanCrop:Cromwell
608360,Tax Invoice,2020-01-24,2,968.25,139,Local - 1:PGG Wrightson Ltd:Cromwell
608361,Tax Invoice,2020-01-24,3,183.7,83,Local - 1:Farmlands:Hautapu
608362,Tax Invoice,2020-01-28,2,387.3,151,Local - 1:PGG Wrightson Ltd:Motueka
608363,Tax Invoice,2020-01-28,6,2173.2,133,Local - 1:PGG Wrightson Ltd:Alexandra
608364,Tax Invoice,2020-01-28,4,2231.18,144,Local - 1:PGG Wrightson Ltd:Hastings
608365,Tax Invoice,2020-01-28,1,462.5,105,Local - 1:Farmlands:Te Puna
608366,Tax Invoice,2020-01-29,3,1260.3,75,Local - 1:Farmlands:Blenheim
608367,Tax Invoice,2020-01-30,2,55.45,115,Local - 1:Horticentre / TasmanCrop:Cromwell
608368,Tax Invoice,2020-01-30,2,1322.67,139,Local - 1:PGG Wrightson Ltd:Cromwell
608369,Tax Invoice,2020-01-30,3,13108.1,33,Export:Sungold Distributors:Sydney
608370,Tax Invoice,2020-01-31,2,979.4,133,Local - 1:PGG Wrightson Ltd:Alexandra
608371,Tax Invoice,2020-02-03,2,441.2,111,Local - 1:Farmlands:Whakatu
608372,Tax Invoice,2020-02-05,3,859.15,111,Local - 1:Farmlands:Whakatu
608373,Tax Invoice,2020-02-05,2,783.4,139,Local - 1:PGG Wrightson Ltd:Cromwell
608374,Tax Invoice,2020-02-07,3,2777.96,139,Local - 1:PGG Wrightson Ltd:Cromwell
608375,Tax Invoice,2020-02-10,3,477.2,92,Local - 1:Farmlands:Motueka
608376,Tax Invoice,2020-02-17,6,1498.47,25,Export:New Gaea Agri - Japan
608377,Tax Invoice,2020-02-10,1,669.6,123,Local - 1:Horticentre / TasmanCrop:Tauranga
608378,Tax Invoice,2020-02-10,2,2755.4,124,Local - 1:Horticentre / TasmanCrop:Whakatu
608379,Tax Invoice,2020-02-10,2,371.6,105,Local - 1:Farmlands:Te Puna
608380,Tax Invoice,2020-02-11,2,156.65,77,Local - 1:Farmlands:Cromwell
608381,Tax Invoice,2020-02-11,2,1956.9,139,Local - 1:PGG Wrightson Ltd:Cromwell
608382,Tax Invoice,2020-02-11,3,13108.1,33,Export:Sungold Distributors:Sydney
608383,Tax Invoice,2020-02-11,2,1224.25,133,Local - 1:PGG Wrightson Ltd:Alexandra
608384,Tax Invoice,2020-02-12,2,718.2,105,Local - 1:Farmlands:Te Puna
608385,Tax Invoice,2020-02-12,2,3624.1,120,Local - 1:Horticentre / TasmanCrop:Pukekohe
608386,Tax Invoice,2020-02-12,2,126.5,124,Local - 1:Horticentre / TasmanCrop:Whakatu
608387,Tax Invoice,2020-02-13,1,226.0,51,"Local - 1:Ellison, Trent  - (Delphinus Orchard)"
608388,Tax Invoice,2020-02-13,2,69.97,146,Local - 1:PGG Wrightson Ltd:Invercargill
608389,Tax Invoice,2020-02-13,2,574.5,124,Local - 1:Horticentre / TasmanCrop:Whakatu
608390,Tax Invoice,2020-02-14,1,153.0,104,Local - 1:Farmlands:Te Puke
608391,Tax Invoice,2020-02-14,3,1816.28,133,Local - 1:PGG Wrightson Ltd:Alexandra
608392,Tax Invoice,2020-02-17,2,3819.5,139,Local - 1:PGG Wrightson Ltd:Cromwell
608393,Tax Invoice,2020-02-18,2,79.35,144,Local - 1:PGG Wrightson Ltd:Hastings
608394,Tax Invoice,2020-02-18,2,387.3,75,Local - 1:Farmlands:Blenheim
608395,Tax Invoice,2020-02-19,2,574.5,124,Local - 1:Horticentre / TasmanCrop:Whakatu
608397,Tax Invoice,2020-02-19,2,9097.87,144,Local - 1:PGG Wrightson Ltd:Hastings
608398,Tax Invoice,2020-02-20,3,3368.76,115,Local - 1:Horticentre / TasmanCrop:Cromwell
608399,Tax Invoice,2020-02-20,2,12160.0,95,Local - 1:Farmlands:Opotiki
